stemming,label_number,pseudo_label
bikin akun verifikasi email halaman nampilin login halaman akun kocak,1,neutral
game teman laku alas tolak error posisi jaring kuat tida kendala,2,negative
pas beli game salah beli refaundpengembalian dana respon ya banget game ya ku mainkanpliss valve kembali dana ku,1,neutral
sistem selesai buruk code catcha erortidak code pulih jam jam lupa id pakai ganti sulit sistem cacat,2,negative
saldo steam wallet hilang transaksi malam tahu beli item dota main dota mendownload ya,1,neutral
login susah banget minimal loginnya pakai google akun susah pasuk akun password apa tinggal jaman bagus rating jelek orang masuk alias susah,2,negative
login clear cache delete data appapknya salah pwsalah usename pas susah masuk clear datacache login spamming login salah pwusername entar kena timout dampak login platform tunggu login,2,negative
alam belanja steam ok nih wishlist nampil loading update menu chart tap halaman chart tampil kosong sayang banget sih turut update nih app kagak,1,neutral
rusak parah sistem daftar terang nama sesuai kolom nama available stuck situ ulang ganti email tolong kontak adu susah temu parah parah,2,negative
login pc app pas login suruh pasuk code akun app login,1,neutral
login new member susah bikin sulit login,2,negative
apk steam iningak bayar pakai ovogitu kah masalahe grinding saldo pasuk ovo niat beli marvel spiderman masuk steammalah ovo,1,neutral
login suruh login kode mobile gua login mobile bego nih apk,2,negative
login pasword sandi kecewa banget steam,2,negative
mudah login ulang scan barcode,1,neutral
susah banget masuknyaa passwordnya salah ganti password ulang masuk pas baca ulas orang app error pc mobile ubah beli game mahal login ya,2,negative
steam sulit guna susah login pc mobile butuh hari muncul too many retries steam koneksi internet steam log out frustasi guna login guna hilang akun login aku lol rugi penguna hilang aku habis uang beli game,2,negative
aplikasi tolol login fitur steam guard hapus susah coba login aplikasi nya hapus pas login halaman use the steam mobile app blabalbla banget gagal enter a code instead kode terima kode apa email ya coba pulih pilih alamat ip nya beda perangkat susah mending pindah epic games,2,negative
mantap kemarin hack malam bantu eh akunnyamantap steam,0,positive
susah login lokasi ubah login ggwp sesal gwa update steamnya,2,negative
versi muas jual item steam market error,2,negative
tolong pasuk akun steamnya coba pakai password,1,neutral
masuk akun cari teman kasih pasword nama masuk lihat kode steam teman pakai tinggal masuk masuk steamnya,1,neutral
aplikasi aman ribet phising tembus keamananya,2,negative
delete fitur steam guard hpku rusak login suruh pasuk code steam guard pasuk hp rusak hapus steam guardnya fitur,2,negative
apa kali akun hilang beli lumayan game hilang aplikasi apa,2,negative
bagus aplikasi pc settingan video putar otomatis nguras paket data banget wkwk bikin loading,0,positive
tau isi steam wallet pakai linkaja biaya admin lagiga butuh biaya admin steam colong dev dev naikin harga gamenya,1,neutral
sih login ya jam gua coba anjir,2,negative
akun retas kena phishing saldo wallet habis layan ribet,2,negative
steammohon baik bug diamana an unexpected error has occured jujur ganggu gift game teman komplain steam gmail difix thankssemoga fix,2,negative
mantul aplikasi kembang untuk orang baca kasih tau fungsi aplikasi main mobilehandphone aplikasi aman akun steam pc trade friend list dll main game pc nama guest account tolong download akun steam ya,1,neutral
gue bikin akun kali android aneh banget steam dibenerin no respon tanggung muncul coba steam asli kloning sih kayak becus pokok steam baca ulas lapor baik hati hati benerin gue sumpahin runtuh nih usaha steam peka jir,2,negative
aplikasi jelek login sulit menu ribet,2,negative
gue lihat lihat series game higurashi umineko nge wishlist eh ngestack login kagak masuk masuk sign pemberitahuan email halaman login sign ngestack invalid capthcha mulu google stak gara gara et gabung sulit,2,negative
aplikasi steam daring mobile muas segi fitur aman and service buy for library fitur scan qr login coba login device lacak lokasi coba kali kali ulang login lokasi hasil tolong baik fitur sistem scan qr mudah login mudah sekian,1,neutral
gua masuk steam guard pakai nomor gua pakai nomor gua hapus steam guard gua gua login gara kode ya maksa kirim nomor email gua gua pakai susah sih tinggal kirim email gua steam support bukti transaksi ribet pokok ya,2,negative
aplikasi sampah login ribet banget username password login kayak banget baik,2,negative
sih login hp os ku kayak login pc sdgkan steam kode munculmuncul hp susah baik cepat update langsung error aplikasi,2,negative
bantu redeem code steam wallet mudah komputer mantau event diskon game disteam hehehe baik konsumsi paket data boros boros coba simple uinya overall star ku tunggu event winter sale ya lord gaben,2,negative
recovery account susah banget heran banget steam,2,negative
sulit ganti password lupa mechapta chapta memverivikasinya ulang berkalikali guna system support accountnya,2,negative
gue aplikasi bantu guna steamkarena transaksi itemreedem wallet mudah cepatbuat game inikok mainin steam platform yabukan game nyabaca deskripsi aplikasi ya gih ya deskripsi ya asih gambaranpenjelasan aplikasi kasihan developer ya etik deskripsi biar paham abai hujat,1,neutral
aplikasiny susah daftar ulang malas download email pakai tulis your account cant be verified download steam,2,negative
dear steam developer guna akun steam hp kesal sign up steam aplikasi bingung sign up input email verifikasi email masuk sign harus masuk password sign up input password sign up apk lengkap pusing bintang terimakasih,1,neutral
aplikasi bagus guna steam pc akses steam praktis harga game beli edit profil beli game steam aplikasi contoh rumah dengar game diskon steam tinggal buka aplikasi langsung beli game bayar pakai steam wallet langsung bayar praktis,0,positive
ada aplikasi steam perangkat mobile bantu transaksi beli game pc mudah android temu apa serius steam perangkat mobile konsumsi paket data saran aplikasi hubung wifi guna jelajah,1,neutral
kena scam steam wallet hilang semdirinya setelahsaya cek transaksi laku platform steam community market sistem aman payah,2,negative
install install aplikasi aplikasi pakai kode autentikasi hasil login kode hapenya hilang aplikasi ter uninstall login steam selamat tinggal game,1,neutral
tolong login akun passwordnya salah invalid login steam tolong timbang,1,neutral
akun susah verifikasi ribet verifikasi muncul muncul login akun tolong mudah android ya,2,negative
kali download steam suka download chrome pokok steam diapus kah play store hadeh kacau guna steam kecewa sih apk handphonehpsteam cuman pclaptop,2,negative
steam sih gue pasuk no telp pas gue coba pasuk no telp kirim verifikasi email pas gue pencet otomatis steam ya an error occurred adding this account please try again later try again muluu asuu sinyal aman,2,negative
steam kacau pindah perangkat mesti scan qr perangkat guna steam guard log perangkat,2,negative
steam hp login lancar gilir buka steam pc stuck login kode qr muncul tulis error e coba fix yt nihil coba ganti dns pakai vpn ganti steam pc login game steam mubazir mainin,1,neutral
bikin akun pas verifikasi masuk bikin nama pas ulang verifikasi gagal gara verifikasi gmail ya pakai bikin akun steam,1,neutral
susah banget login akun guna bikin nanik darah doang jasa sambung,2,negative
akun unistal sebentar eh tau sulit loginnya kasih bintang,2,negative
mudah login sulit,2,negative
aplikasi error alas aman aneh instal apps aps beli sulit guna harap no star for this apps,2,negative
steam guard code diarahin app mobile login loginlagi mobile sampah,1,neutral
guna akun verifikasi email halaman utama app hapus bumi,1,neutral
susah akun masuk verifikasi ribet password ya ribet banget masuk akun ya hapus,2,negative
maksud steam kaya bagus susah login pc app login scan nambahin nomor hp pas error,2,negative
layan steam support buruk akun steam kunci susah unlock via email hasil error konfirmasi siasia beli game valve payah mending pindah epic game store,2,negative
garagara update kayak steam ku buka kode steam guard terima login kode gmail pakai vr app mobile kode verifikasi loginnya coba minggu main dota login garagara kode steam guard hp sinkron steam pc ya dammnn,1,neutral
login awalawal ya ribet login akun penting konten kreator depan beli game susah ketimbang web pclaptop ya mudah ribet beli game ribet login login aduh ya tolong mudah ranting,2,negative
steam windows install emulator pakai android run normal huruf gambar freeze install windows asli alas software hubung internet batas steam akses internet nonaktif firewall internet ku bagus akses situs steam browser windows komputer software steam akses internet,0,positive
apk daftar akun bikin kesel verifikasi email muncul lanjut buat akun susah banget proses buat nama akun password,2,negative
aplikasi bagus bantu untuk gaben steam kerja ovo gopay wilayah indonesia tetangga belah game gratis pakai ovo mudah hidup salah kartu kredit sekian terima kasih,0,positive
wow teman main kendala buka steam market proses ya lambat terkadang suka error overall good,2,negative
login ribet banget sih nama akun sandi ya langsung masuk akun lo masuk steam mobile segalakode ya masuk email enak ribet banget login,2,negative
update hancur gagal login rechapta koneksi bagus susah login steamjangan update akibat error steam,2,negative
gue update steam lihat steam guard internet ya gue beli item jual item item gue jual inventori aktifin isi steam wallet duluwhat the hell,1,neutral
kecewa steam login ribet ya pulih akun steam mobile ujung login bikin akun gilir verifikasi alesannya masalah tahi nih steam login susah capek steam coba sia game cuman steam doang game mainin game steam doang kecewa,2,negative
edit ulas terbarutambah rusak steam sekarangskin trade hilang salah steamjangan update tampil uimakin kesini jelek nih apkjika tambah korbandan hilang uang habis skinbener turun performa steam duluga sok sok update tampil ui,2,negative
tolong steam login daftar email sandi login ganti sandi kali salah sandi masuk tolong steam baik,1,neutral
game ku library hilang beli habis juta tanggung developer game hilang wishlist hilang laptop rusak buka steam pas coba login gamenya hilang kayak akun,2,negative
ngerekrut software enginner ui ya aco fitur fitur ya ribet desain bagus bagus nyaman pakai ribet aneh aco tolong gaben kembali ui ya,2,negative
tolong ganti design modern sih modern yakalik sulit chat pakai aplikasi beda atur widget steamguard ide pisah chatting ya moga hari senin,2,negative
steam ya praktis deteksi otomatis device pakai main gamenya player capek urus graphicgrafis,1,neutral
sistem redirect laman bayar sampah jir kagak load mulu link alternatif ya pencet mending bayar via webpc jir apk android mending diapus playstore baik rating bawah erti,1,neutral
enak dev support aplikasi sampah login kgk sampah aplikasi baca ulas kgk wkwk sampah ribet update ya sampah aplikasi kgk developer steam nyantai doang ya kayak orang tlol,2,negative
app steam gampang pantau kembang akun mudah beli game luar rumah kota gue bawa pc sono kemari kecuali lo main ya laptop lo bawa mana rumah library tinggal install pc mantap pokok nih app,0,positive
atur aplikasi eror atur pc lancar aplikasi contoh pasu no hp aplikasi eror laku pc lancar pasuk phone steam guard hp please fix this,1,neutral
aplikasi bagus guna banget main dota akun aman bajak orang susah pas login hp low batterymati habis kuota internet log pakai kode safety kirim aplikasi log ah sad momment,0,positive
install steam juni game library an games free games recomended gameplay scorenya sale harga gamenya jangkau recomended,1,neutral
verifikasi email buka steam proses atur password dll halaman login log sesi atur password atur nama akun aplikasi publikasi layak pakai,1,neutral
update baru ui ya bagus banget optimized android spek hp lumayan moga update depan ya app ya optimized beli game via hp ribet ngelag,0,positive
susah join isi email centang tuju syarat atur langsung continue tulis robot centang cocok centang syarat atur klik continue email masuk steam,1,neutral
capek lahbaru log loadingnya kaliudh lamabukan itubeberapa nunggunyaudh pakai log pakai akun google lagiplis pakai akun google biar verifikasi langsung,2,negative
tolong developer mudah guna sign login jujur kecewa sign berkalikali app kembang rating bagus tolong baik segi sign,2,negative
steam guardnya guna security tambah and transaksi mana plus kontrol game didownload pc on pas tau pakai kode steam guard kode steam guard cek appnya steam guard kerefresh detik cepat copy paste ya login software pc web,1,neutral
baca ya guna pikir aplikasi rusak login teman steam login melalumenggunakan hp login bisabisa pakai hp aplikasi ya rusak login steam pakai laptop computer biar hehehehe moga guna,2,negative
lmao otak fungsi pantau akun steam edit akun milik beli games well akun isi steam wallet pc komputer account daftar situs resmi steam google log pakai steam untuk console pc android ios bajak,1,neutral
akunmasalahnya there was a problem creating your steam account please try again later ok milik vpntapi nyalasaya coba mematikandan nyala vpn milik hasil samalalu hapus vpndan hasil ya proxy mati,1,neutral
aplikasi lumayan bantu login steambisa beli game komputercuman ui diupdate uinya ubah rubah,1,neutral
login isi steam guard codepadahal tau menu steam guard code aplikasi akses loginsekarang code loginhow,1,neutral
susah sign steamnya cuypas gua tulis nama passwordgak lohpas cek bilangminta cek nama passwordaku tulis lohgua tau sign steam,1,neutral
steam daftar email isi email chapta ya tolong banget tolong komentar alami benar,1,neutral
aplikasi steam versi mobile buruk susah login versi komputer aplikasi lot parah masuk aplikasi steam loading butuh jam loading epic games bagus,2,negative
bagus verifikasi gmail code kirim akun cari update spam folder mohon baik mudah user,1,neutral
mending download login mending ribet loginnya pakai giur fitur scannya langsung login entar kayak gua garagara aplikasi steam gua masuk ganti hp steam guard authenticatorny rusak beli game steam masuk aplikasi tolol no recommended,2,negative
sih login error ya apsihh anjing kali errorny rilis nih aplikasi bikin kesal aplikasi limbah,2,negative
laku login akun hasil akun email utama terima email apa mengverifikasi akun steam hilang langgan bangkrut tolong baik login akun ribet muak,2,negative
login pasu pwusername kgk ikut tutor hapus datacache kgk chrome kgk,1,neutral
fungsi sms code steam guard mobile authenticator komplain steam supp error kirim aman ribet sepele kasih bintang,2,negative
id steam masuk ya cuman gara gara code doang pasuk hp hp steamnya bilang steam guard code from mobile authenticator tolong fix banget nih komputer masuk,1,neutral
jelek banget verifikasi via sms home bantu akun steam ku curi respon jual game doang sistem bobrok app perintah bug ya jelek baik biar bintang anjlok under star,2,negative
bagus bangetlumayanpas downloadbuat akun steam browser hpterus pas akun ya masuk aplikasi work tomb raider diskon harga gue diskon doang gue koleksi game tomb raider jadul rise of the tomb raider tambah dlc ya lagiwah senang banget pokoknua,0,positive
kena hack pakai factor login rd party notifikasi masuk item ku hilang dijualin hack pakai rd party wallet masuk kantong kecewa keamananya juta masuk steam ragu aman,2,negative
tips baca susah login login main logout etik ketik nama akun email ketik password steamnya kode kirim apk web gmail hp,1,neutral
oi game login tibatiba pas pencet robot mala ulang terus,2,negative
teori comment orang install ulang ganti password dll coba pas coba hapus cache kait steam login tulis pas kumasukin kode verif masuk speechless gue,1,neutral
aplikasi steam awal game kebel eh besok login tau user password salah coba gantihasilnya masalah tolong beres,2,negative
pc hp ribet aplikasi pakai jaman batu verify im not robot ya kayak website bokep taruh gambar suruh ulang suka epic games,2,negative
main dotanya belah cacad banget aplikasi dimainin buang kuota lho cok steam isi game pc gamenya main pc pc aplikasi play store sifat wakil pc beli game beli item trade item dotacsgodll beli game ya beli doang ya cok main pc autentikasi akun steam pc lho cok,2,negative
akun password steam sih gua login gua akun suruh pasuk password login ya gua bro pasuk password sistem akun siapin email confirm email password akun password gua capek kali hasil kecewa beli main putus asa buatanda bantu mohon maaf steam tanggung,2,negative
ribet pakai steam playstoreandroid kode verifikasi masuk sekali masuk logut apk login besok apk kode verifikasi susah banget muter pakai wifi download steam playstore ya teman parah downloadnya langsung website officialnya,2,negative
saran mudah masuk akun steam tambah opsi login google jenis login ribet bangetkarena login nikmat aplikasi initerima kasih,0,positive
loginnya lamaa nge lag susah nyelesaiin tugas webtoon bikin akun sign gendeng,2,negative
aplikasi bagus gamenya variatif diskon raya raya layan bagus akun hilang kena hack langsung kirim email kirim bukti milik akun boom akun,0,positive
kode autentikasi email karakter kombinasi angka huruf diinput aplikasi input angka mohon baik ya,1,neutral
apk kacau super kacau download pas buka muncul tampil sign fitur sign up developer buka apk karya layak tidak apk rilis bintang kayak,2,negative
apk gagunaapaan kagak loginmasuk masuk steam eh suruh pasuk nama password akunpas coba login google email ya masukpas masuk suruh close window resetkalau login gabakalan bisaemang steam busuk gunanyanyesel guakecewa banget jujur steam sekaranggapernah benernyasaya emosi aplikasi kurang milik aplikasi fatal banget kecewa,2,negative
komen buka alas ya steam blokir kominfo karena steam daftar pse steam steam daftar pse makan suruh steam cepat ya daftar pse,1,neutral
maaf adek tolo kentud ehm maaf kasar app game ya tod platform sila cari google platform steam games pc mana info games chatting wisper trade buy game csgodota dsb kuntul beli pc kimak minimal i rtx ram gb kentud biar main ep ep burik tolo,2,negative
mohon maaf ya daftar aplikasi daftar mohon daftar update daftar tau pasword hp ya orang tua pegang sandi kecill maaf kasih bintang aplikasi daftar suka update ya tahun ya gin rating mohon maaf bintang,1,neutral
app rekomen beli game main gamebanyak diskon,1,neutral
eh register computer pakai vpn kagak pakai vpn register hp tolong download tmodloader terraria nih gapapa deh lupa versi terrarianya versi versi v,1,neutral
akun password salah milik password steam account pakai coba pulih kirim gmail suruh login kasih kode verifikasi coba kirim pesan no hp kirim,1,neutral
bagus sih main main game gratis pc kasih game pcandroid grafik pukau gratis bayang langsung laris download ya bosan main game android pc o beli ya pakai danagopaypaypal beli alfarmart ku alfarmart ya vv,0,positive
steam ya rada error pas login coba kali pas coba instal game suruh download steam mulu download,2,negative
aplikasi sampah login lupa sandi guard pulih suruh konfirmasi hp download ya konfirmasi email apa minimal otak pakai susah orang,2,negative
login hp steam acount name ya password dah ganti steam account namenya tau email nama steamnya catat user samsung samsung susah,2,negative
tolong pengeloladeveloper ya download terkadang bytes network sih internet normal normal tolong baik yaakalau kasih bintang,1,neutral
guys login uninstal steam login google login download steam ya akun login,1,neutral
bagus murah aplikasi daftar susah banget,2,negative
ku pikir beli game langsung dimainin handphone sambung pc ribet banget sih aplikasi aplikasi android langsung main ribet langsung main pc,2,negative
akun stuck gara hapus aplikasi steam login pakai steam guard pakai aplikasi stuck habis juta beli game msmbership ya,2,negative
ngeluh gabsa login alas sndi cek akun steam mu username akun nama profile ya gbsa main game kcuali iositupun game ya ya pakai steam link main inti apk guna kecuali cuman login pakai kode qr heh,1,neutral
tolong developer baik iya login tau atur ya kayak bikin benci pencet tombol robot centang hijau ya pas pencet countie centang hijau hilang capek capek ya tolong baik moga developer ya,2,negative
loading screen ya cepat internet internet langsung buka kagak guna rekrut soft enginer buka aplikasi steam banget,1,neutral
akun hilang pas ganti pasword login pc mobile muncul notifnya panik login google langsung coba putusin mobile alhamdulilah uninstal steam mobile reinstal steam pc alhamdulilah login kapok steam mobile,2,negative
log niat niat arung lamar login,1,neutral
akun ribet iklan a reward yaampun pakai your code verify email loh code muter bingung mu kau biat pusing berputarr putar,2,negative
apa susah banget bikin akun pindah susah ya akun doang sih gj,2,negative
susah login,2,negative
akun hilangdan kode verifikasi muncul tanggap,2,negative
steam bab betol tulis email sandi ubah sandi bilang salah bab otak,2,negative
kode sms muncul,1,neutral
masak login moblie suruh verifikasi mobilekan login mobile suruh verifikasi mobileya mobile verifikasi mobile mobile dongo ya,2,negative
gara gara aplikasi jelek login steam scan code qr aplikasi game beli hilang bantu batas,2,negative
tolong baik login ribet,2,negative
login berkalikali kagak login masuk nama akun password ya kagak,1,neutral
tolong ya akun steam pas klik continue ngulang suruh pasuk email terus tolong ya steam baik,1,neutral
moga fitur kayak wa lihat device akses steam devicenya nali log out steam guard,1,neutral
login halang steam guard mending ilangin fitur steam guard,1,neutral
tolong metode bayar indonesia banyak opsi gopay baca dll tau dana top up kubu merah eror mulu jadi duakali tolong masuk opsi bayar gopay,1,neutral
valve nikmat layan akun eror vpnproxy milik aplikasi vpnproxy tolong baik coba apk main csnz pindah csoi megaxus tutup agustus kemarin tolong baik baik kasih bintang,1,neutral
ah elah jembut banget nih apk login susah banget gua bikin akun suruh akun oke gua bikin gua emosi mana letak bikin sandi ya situ tulis masuk alamat email letak bikin password ya mana ngentdd,2,negative
gue pakai apps steam hp faktor aman gue lihat teman gue on hidupin pc fitur friend ya chat ya apps beda nyssel gue update jink,1,neutral
sumpah login steam pc suruh pakai app mobile gilir pakai app mobile suruh login pakai app mobile,1,neutral
steam guard sulit otentikasi,2,negative
beli game downloadga dibukak game ya eror trusan,2,negative
salah aplikasi steam support ya bantu,1,neutral
gmnaa dev gta v beli pengin main rp gamnaa tolong beli sebalh mals bgett,1,neutral
ribet banget kont orang login hp suruh verifikasi app mobile kocak,2,negative
suka banget mendownload poppy playtime,0,positive
login eror emailpassword,2,negative
saran download mending deh bantu akun aman hacker mudah ngehack akun gue udj korban,1,neutral
woi kayak akses web suruh kode mobile akses mobile kode steam guard gue tau steam guard gue akses mobile anjeng,1,neutral
buka tombol dont have steam accountnya pencet tanggung p inti jelek selesai sih download beban,2,negative
aplikasi coba login salah mulu coba ganti password kali kali gagal mulu kecewa berat,2,negative
steam guar kirim kode akses akun,1,neutral
gamenya buruk login tau password email nih developer,2,negative
update an baru susah pakai ya lihat inventory fitur chat,2,negative
kasih bintang login eror login suruh login tolong baik bug tolong baik,1,neutral
good orang orang login akun kehack verifikasi email steam pasang media steam guard,1,neutral
barusan beli gamehabis bayar langsung masuk library bukti bayar kirim gmail mantap ya ragu beli game sinifirst time beli game,1,neutral
bagus banget ya apk ya download game pc gratis ya bagus banget bug ya,0,positive
asa aneh orang anggap kayak emulator donlod game hp remot biar gampang beli game buka komputer,2,negative
steam hilang fitur verify email beli game pc pliss steam pakai email teman email ya lupa steam wallet buang sia sia akun pakai please hilang fitur ya biar pas beli game ya tinggal beli steam,2,negative
guna game diskon malas nyalain pc beli game mending langsung beli nih apk,2,negative
bug bikin steam authorization kamera pakai,1,neutral
ui ya bagus ya pas pakai berat fitur chat steam pisah susah sorry steam kali rating,0,positive
kecewa banget sih steam sumpahmasa file download gue pause sebentar ulang,2,negative
susah masuk steam input case sensitive huruf kapital anggap beda contoh usernamepasswordnya abcd ketik abcd abcd,1,neutral
aplikasi penipubeli game beda dulusteam kasih diskon besarbesaran game ya dimainkanbeli resident evil remake diskon harga ribu an ribu ansudah beli main beli resident evil remake main harga ribu an ribu ansteam platform game jelek indonesialebih cocok maki hina game beban sampah,2,negative
buka steam steam henti update hp buka steam ya lancar update buka kali uninstall ulang,1,neutral
tolong kasih tauchat ya is ofline mulu ngeverifikasi steam guard notifikasi kasih tau gan koneksi pakai wifi lancar no ngelag terima kasih,1,neutral
sumpah steam ampas susah join susah verifikasi robot gagal baca stema client apk android apk pc coba gagal ayo serius dikit urus gabung,2,negative
kadang suka nge bug pls fix kayak kasih trade offer friend eh tau tau ya steam profile ya hilang barang,2,negative
daftar ya ribet gila sial email konfirmasi puluh kali salah pasuk no telpon pas klik email apk error ganti beras,2,negative
susah log akun steam mohon steam baik pandu log ganggu,2,negative
login susah ya tolong ampun kadang error kadang password salah customer nge kritik baik,2,negative
daftar akun steam isi data meng klik continue ulang terus tolong bug ya baik,1,neutral
terimakasih tani jam pintu masuk ya ku pasuk akun ya bikin sok terima kasih service ya,2,negative
ya lupa password nama pasuk gmail ku pakai wa donload i hate this apk pakai bintang kecewa banget loggin doggy game,2,negative
loginnya coba ganti password etik teliti ok salah tuh akun gmail nama akun steam bingung,1,neutral
gagal register steam gagal pushing hapus apk vpn hp hp mati nyala hp coba register alhamdulilah coba ulang kali selamat coba,2,negative
sistem aman steam ribet sulit lupa password steam meresponnya kadang tunggu email konfirmasi sempat orang main steam usaha teknologi pusing teknologi,2,negative
mohon maaf ya kali download steam suruh pasuk passwordpadahal akun steam sekaliaku password coba password,1,neutral
beli game fc coba login fc ya tolong main ya balik duit,1,neutral
aplikasi guna banget mantau akun steam hp buka komputer bilang download sih aplikasi tuh mantau akun komputer download game pc hp,1,neutral
game keren nih gue saran download apk lu daftar ya google daftar google beli game google ya lu download apk pasuk daftar google masuk beli game ya main gue beli main android pc gue rusah tolong baik pakai android terimakasih,1,neutral
login steam salah hapus susah aneh susah ning hapus aduh susah capek daritadi ketik teks asalasalan capek ya hapus steamnya,2,negative
please ya capek tunggu instalnya ketiduraneh main install lagibikin apkmu biar otomatis simpan game download,2,negative
buruk banget login suruh isi steam mobile authenticator capek ngapainngapain login,2,negative
sign up kali download aplikasi sign up coba un install apknya sign up website steamnya hasil,1,neutral
halaman load kadang pas akses error steam mobilenya steam desktop fitur chat friends ya pisah ribet,2,negative
kirim sms code authenticatorselalu error and trying kirim sms code nyapadahal nomor telpon aktif sulit authenticator sms nomor telepon,2,negative
game pc game hp epep fungsi aplikasi beli game simpan akun donwload pc tinggal pasuk akun otomatis kebel coy,1,neutral
nice bagus bangetakunnya pantau mobilejadi tau pantau akun steam maka sembarang terdetect,0,positive
kembang aplikasi bagus cuman baik fitur aplikasi buka publik masyarakat isi isi daftar steam log akun,0,positive
steam mobile authenticator login perangkat aman rugi guna paksa akun steam hilang,1,neutral
community marketnya susah pakai teks steam mudah ui ya enak simple yanh kecewa sulit community market,2,negative
app keren saran download aplikasi steam satu main game pc hp contoh tf bagusngelag kali coba senang,0,positive
mantaps sluur lu download game lu pc kecuali hp ok sing up lu tunggu kali kali lu buaka gmail lu tulis steam tulis apagitulah warna hijau lu pencet deh,0,positive
oi min gue ganti pasword steam gue masuk sih anjir banget eror pas masuk pc hp web browser pakai password ayo game gue,2,negative
sulit login login doang eror aplikasi rusakk mobile pc nih aplikasi baik,2,negative
tolong hp ya susah jaring masuk aplikasi steamnya tolong baik,2,negative
sign up account pas isi email confirm email checklist nyata hilang email masuk steam konfirmasiverifikasi,1,neutral
oii gue bikin akun sih bikin your account creation request failedplease try again later tolong steam error kemarin kayak,2,negative
nemu bug nih apk login steam guard,1,neutral
susah login autentifikasi scan barcode steam mobile tolong baik,2,negative
update masak steam guard steam nak hack orang china buka web phising item ku hilang,1,neutral
aplikasi guna androidios cocok orang tinggal eventpromo promo tarik steam suka salah satu beli game mantap,0,positive
steam mohon daftar steam inikalo cari daftar wifi ya bagus wifi bagus mohon steam baik,1,neutral
steam tolong ya ya cerita ya instal ulang hp pas download steam langsung pasuk tuh nama steam password ya aplikasi steam seluler konfirmasi login mu ya aplikasi steam seluler ikut langkah langkah ya habistu kode steam guard lupa kode steam bantu,1,neutral
jelek banget masuk ulang verifikasi ulang apk ya hp ku reset suruh pakai code apk mobile verifikasi ya steam tolol,2,negative
log ya ribetsudah sama emailnyatrs gue coba emails sandi kgk,1,neutral
aplikasi susah login login butuh verifikasi email respon steam sekalisaya kecewa steam initerima kasih steam,2,negative
aplikasi rusak parah steamguard guna pasu kode otp ku ubah ketik,2,negative
game ya ribet banget login gagal gagal mulu loh sandi ya coba berkalikali tolong baik,2,negative
mantap banget proses trade bantu banget hp sih simpel,0,positive
